"Арт №";"Наименование позиции";"Цена, грн";Ед.
117076;"Quadro V6.P2O L = 550мм полного выдвижения, левая, ДСП до 19 мм (9292845) Hettich";"567,24 грн.";шт
119401;"Комплект направляющих Quadro полн/в с доводчиком L = 550 EB = 23 (ДСП до 19 мм)";"1027,52 грн.";к-т
119733;"Комплект направляющих Actro YOU L=300мм полного выдвижения с доводчиком (40кг)";"1166,53 грн.";к-т
52529;"Метабокс  L=400 (H=150MM)";"116,46 грн.";шт
43464;"Метабоксы L=300 H-150 Muller";"262,02 грн.";к-т
13787;"Соединитель задней стенки H=218 ArciTech, белый, левый 9121853 Hettich";"164,88 грн.";шт
13789;"Соединитель задней стенки H=186 ArciTech, серебро, левый 9121843 Hettich";"141,12 грн.";шт
13816;"Продольный релинг ArciTech L=550 серебро, левый (9122013) Hettich";"160,44 грн.";шт
13785;"Соединитель задней стенки H=94 ArciTech, белый левый 9121829 Hettich";"81,72 грн.";шт
13783;"Соединитель задней стенки H=218 ArciTech, антрацит, левый 9121855 Hettich";"164,88 грн.";шт
13776;"Крепление ArciTech продольного релинга под прикручивание (9127011) Hettich";"7,14 грн.";шт
13775;"Продольный релинг ArciTech L=450 серебро, правый (9121994) Hettich";"153,06 грн.";шт
32954;"Соеденитель задней стенки H=218 ArciTech,шампань, правый(9132259) Hettich";"164,88 грн.";шт
32901;"Лицевая панель ArciTech для внутреннего ящика L=2000 Н=94, шампань (9192207) Hettich";"1566,3 грн.";шт
60462;"Направляющая Actro, Silent System L=400мм, левая (9239279) Hettich";"474,6 грн.";шт
32967;"Продольный релингArciTech EK L=450 антрацит ,левый(9121995) Hettich";"153,06 грн.";шт
30356;"Направляющая Actro, Silent System L=350мм, правая (9121090) Hettich";"465,6 грн.";шт
26741;"Комлект Muller Box L-450  Н-84 белый";"910,74 грн.";шт
14775;"К-кт. креплений задней стенки для  Muller Box под 1 релинг Н-135";"62,82 грн.";шт
14781;"Передняя панель для внутр.ящика Muller Box 1100мм";"762,48 грн.";шт
14795;"Поперечный стабилизатор L-450  Muller Box";"246,9 грн.";шт
14784;"Релинг продольный L-400 для ящика Muller Box";"112,32 грн.";шт
26735;"К-кт. креплений задней стенки для  Muller Box  под 1 релинг Н-135 белый";"58,5 грн.";шт
73569;"Комплект Muller Box profi line L-400 Н-95 белый";"992,88 грн.";к-т
73577;"Комплект Muller Box profi line L-450 Н-127 белый";"1141,86 грн.";к-т
73585;"Комплект Muller Box profi line L-500 Н-178 белый";"1390,08 грн.";к-т
73593;"Комплект Muller Box profi line L-350 Н-178 антрацит";"1241,1 грн.";к-т
73602;"Комплект Muller Box profi line L-500 Н-127 антрацит";"1191,48 грн.";к-т
73619;"К-кт креплений передней панели Muller Box profi line антрацит";"85,8 грн.";шт
72000;"Комплект Muller Box L-350 с 2 релингами";"1119,53 грн.";к-т
72009;"Комплект Muller Box L-350 с 1 релингом белый";"951,9 грн.";к-т
72017;"Комплект Muller Box L-350 внутренний ящик белый";"1566,93 грн.";к-т
117804;"Комплект внутр. ящик Muller Box profi line L-450 Н-95 антрацит";"1943,42 грн.";к-т
117813;"Комплект внутр. ящик Muller Box profi line L-500 Н-95 белый";"1993,07 грн.";к-т
29181;"Лицевая панель Atira L=2000мм Н=70мм, белая (9194765) Hettich";"1446,9 грн.";шт
29055;"Соединитель задней стенки H=70мм Atira, антрацит, левый (9194629) Hettich";"59,7 грн.";шт
29020;"Боковина Atira L=350 мм H=70мм белая, правая (9194409) Hettich";"213,42 грн.";шт
29152;"Комплект надставок DesignSide L=420мм Н=144мм, серебристый (9194800) Hettich";"1174,68 грн.";шт
29069;"Продольный релинг L=520мм, Atira , серебристый, правый (9194533) Hettich";"125,58 грн.";шт
29297;"Комплект для ящиков Atira, полного выдвижения L=350мм H=176мм, серебристый Hettich";"1677,52 грн.";к-т
29292;"Комплект для ящиков Atira, полного выдвижения L=350мм H=144мм, белый Hettich";"1635,52 грн.";к-т
29156;"Надставка TopSide L=350мм H=144мм, Atira, белая (9194686) Hettich";"574,32 грн.";шт
29313;"Комплект для ящиков Atira, полного выдвижения L=420мм H=176мм, серебристый Hettich";"1729,2 грн.";к-т
29262;"Комплект для ящиков Atira, полного выдвижения L=470мм H=144мм, серебристый Hettich";"1724,14 грн.";к-т
29030;"Боковина Atira L=420 мм H=70мм антрацит, правая (9194425) Hettich";"224,22 грн.";шт
29270;"Комплект для ящиков Atira, частичного выдвижения L=470мм H=144мм, белый Hettich";"1453,29 грн.";к-т
29052;"Соединитель задней стенки H=144мм Atira, белый, правый (9194636) Hettich";"82,8 грн.";шт
29019;"Боковина Atira L=420 мм H=70мм белая, левая (9194410) Hettich";"224,22 грн.";шт
29339;"Комплект для ящиков Atira, частичного выдвижения L=520мм H=176мм, серебристый Hettich";"1529,38 грн.";к-т
29153;"Комплект надставок DesignSide L=470мм Н=144мм, серебристый (9194801) Hettich";"1185,42 грн.";шт
29053;"Соединитель задней стенки H=176мм Atira, белый, левый (9194639) Hettich";"103,8 грн.";шт
29327;"Комплект для ящиков Atira, полного выдвижения L=520мм H=144мм, антрацит Hettich";"1761,03 грн.";к-т
29175;"Комплект надставок DesignSide L=470мм Н=144мм, антрацит (9194815) Hettich";"1185,42 грн.";шт
29144;"Надставка TopSide L=420мм H=144мм, Atira, серебристая (9194680) Hettich";"580,38 грн.";шт
29075;"Продольный релинг L=470мм, Atira , белый, правый (9194544) Hettich";"122,46 грн.";шт
29097;"Quadro V6.Silent System L=350 полного выдвиж. Atira, левая (9047443)  Hettich";"383,82 грн.";шт
29081;"Продольный релинг L=420мм, Atira , антрацит, правый (9194557) Hettich";"119,34 грн.";шт
29314;"Комплект для ящиков Atira, полного выдвижения L=420мм H=176мм, белый Hettich";"1729,2 грн.";к-т
29096;"Quadro V6.Silent System L=470 полного выдвиж. Atira, правая (9047453)  Hettich";"402 грн.";шт
29015;"Боковина Atira L=470 мм H=70мм серебристая, правая (9194399) Hettich";"231,96 грн.";шт
30477;"Дополнительный релинг L=520мм, Atira серебро, правая (9195021) Hettich";"125,58 грн.";шт
30457;"Дополнительный релинг L=420мм, Atira белая, левая (9195030) Hettich";"119,34 грн.";шт
30458;"Дополнительный релинг L=420мм, Atira белая, правая (9195031) Hettich";"119,34 грн.";шт
29151;"Комплект надставок DesignSide L=350мм Н=144мм, серебристый (9194799) Hettich";"1159,62 грн.";шт
29341;"Комплект для ящиков Atira, полного выдвижения L=520мм H=70мм, серебристый Hettich";"1454,51 грн.";к-т
34969;"Адаптер для продольных релингов, антрацит (9206258) Hettich";"68,28 грн.";шт
30481;"Направляющая Quadro V6 P2O L=470 полного выдвиж. 10,5 Atira правая (9117306) Hettich";"539,34 грн.";шт
60652;"Адаптер для штанги синхронизации Р2О тип В Atira V6 (9219965) Hettich";"27,06 грн.";шт
52162;"Комплект ящиков Atira, частичного выдвижения с метал.надставками TopSide L=420мм H=144мм, белый";"2238,06 грн.";к-т
51965;"Комплект ящиков Atira, частичного выдвижения с метал.надставками TopSide L=350мм H=144мм, серебро";"2184,24 грн.";к-т
51938;"Комплект ящиков Atira, частичного выдвижения с стекл.надставкой DesignSide L=420мм H=144мм, антрацит";"2346,02 грн.";к-т
51859;"Комплект для внутренних ящиков Atira, частичного выдвижения L=350мм H=70мм, серебристый Hettich";"2713,48 грн.";к-т
51822;"Комплект для ящиков Atira, частичного выдвижения L=520мм H=176мм, антрацит Hettich (2 релинга)";"1789,69 грн.";к-т
51872;"Комплект для внутренних ящиков Atira, полного выдвижения L=420мм H=144мм, антрацит Hettich";"4085,59 грн.";к-т
51815;"Комплект для ящиков Atira, частичного выдвижения L=470мм H=176мм, серебристый Hettich (2 релинга)";"1749,33 грн.";к-т
51917;"Комплект для внутренних ящиков Atira, частичного выдвижения L=520мм H=70мм, серебристый Hettich";"2808,2 грн.";к-т
51802;"Комплект для ящиков Atira, частичного выдвижения L=350мм H=176мм, серебристый Hettich (2 релинга)";"1652,32 грн.";к-т
51906;"Комплект для внутренних ящиков Atira, полного выдвижения L=520мм H=144мм, белый Hettich";"4159,42 грн.";к-т
51825;"Комплект для ящиков Atira, частичного выдвижения L=520мм H=176мм, серебристый Hettich (2 релинга)";"1789,69 грн.";к-т
51885;"Комплект для внутренних ящиков Atira, полного выдвижения L=420мм H=70мм, белый Hettich";"3020,56 грн.";к-т
51851;"Комплект для внутренних ящиков Atira, частичного выдвижения L=350мм H=144мм, антрацит Hettich";"3769,73 грн.";к-т
51894;"Комплект для внутренних ящиков Atira, частичного выдвижения L=470мм H=144мм, антрацит Hettich";"3851,68 грн.";к-т
52249;"Комплект ящиков Atira, полного выдвижения с метал.надставками TopSide L=520мм H=144мм, белый";"2588,53 грн.";к-т
51967;"Комплект ящиков Atira, полного выдвижения с стекл.надставками TopSide L=350мм H=144мм, серебро";"2418,59 грн.";к-т
51946;"Комплект ящиков Atira, частичного выдвижения с стекл.надставкой DesignSide L=470мм H=144мм, антрацит";"2384,65 грн.";к-т
51889;"Комплект для внутренних ящиков Atira, частичного выдвижения L=420мм H=70мм, серебристый Hettich";"2752,49 грн.";к-т
51805;"Комплект для ящиков Atira, полного выдвижения L=420мм H=176мм, белый Hettich (2 релинга)";"1976,97 грн.";к-т
52177;"Комплект для ящиков Atira, полного выдвижения Р2О L=420мм H=176мм, серебристый Hettich";"2006,37 грн.";к-т
51873;"Комплект для внутренних ящиков Atira, полного выдвижения L=420мм H=144мм, белый Hettich";"4085,59 грн.";к-т
51875;"Комплект для внутренних ящиков Atira, частичного выдвижения L=420мм H=144мм, антрацит Hettich";"3823,73 грн.";к-т
52204;"Комплект для ящиков Atira, полного выдвижения Р2О L=470мм H=176мм, антрацит Hettich (2 релинга)";"2294,83 грн.";к-т
52269;"Комплект для ящиков Atira, полного выдвижения Р2О L=520мм H=176мм, белый Hettich (2 релинга)";"2335,52 грн.";к-т
57135;"Продольный релинг для внутренних ящиков L= 420 мм, Atira, белый, левый (9194578) Hettich";"119,34 грн.";шт
57108;"Продольный релинг для внутренних ящиков L= 420 мм, Atira, серебро, правый (9194569) Hettich";"119,34 грн.";шт
57109;"Продольный релинг для внутренних ящиков L= 470 мм, Atira, серебро, левый (9194570 Hettich";"122,46 грн.";шт
66489;"Карго из ящиков Atira, полного выдвижения L=470мм H=144/70мм, антрацит Hettich";"2344,06 грн.";к-т
66481;"Ящик с вырезом под мойку Atira, полного выдвижения L=470мм H=144/70мм, белый Hettich";"2306,93 грн.";к-т
67822;"Механизм Push to open SilentSystem слабый, Atira (9240161)  Hettich";"975 грн.";шт
73717;"Комплект ящиков Atira, полного выдвижения со стекл.надст. DesignSide P2O SSL=520мм H=144мм, антрацит";"3767,13 грн.";к-т
73677;"Комплект для внутренних ящиков Atira, полного выдвижения P2O SS L=520мм H=70мм, антрацит Hettich";"4152,14 грн.";к-т
73749;"Комплект для ящиков Atira, полного выдвижения P2O SS L=420мм H=70мм, антрацит Hettich";"2463,59 грн.";к-т
73827;"Комплект ящиков Atira, полного выдвижения со стекл.надс. DesignSide P2O SS L=350мм H=144мм, белый";"3626,57 грн.";к-т
73762;"Комплект для ящиков Atira, полного выдвижения P2O SS L=350мм H=70мм, серебристый Hettich";"2420,75 грн.";к-т
73715;"Комплект ящиков Atira, полного выдвижения с стекл.надст. TopSide P2O SS L=520мм H=144мм, серебро";"3629,02 грн.";к-т
73692;"Комплект для ящиков Atira, полного выдвижения P2O SS L=520мм H=144мм, серебристый Hettich";"2831,33 грн.";к-т
73233;"Комплект для ящиков Atira, полного выдвижения P2O Silent L=470мм H=176мм, антрацит Hettich";"2836,47 грн.";к-т
73635;"Комплект для внутренних ящиков Atira, полного выдвижения P2O Silent L=470мм H=70мм, серебро Hettich";"4121,56 грн.";к-т
73667;"Комплект ящиков Atira, полного выдвижения со стекл.надст. DesignSide P2O SSL=470мм H=144мм, серебро";"3725,83 грн.";к-т
73689;"Комплект для ящиков Atira, полного выдвижения P2O SS L=520мм H=144мм, антрацит Hettich";"2831,33 грн.";к-т
73767;"Комплект для внутренних ящиков Atira, полного выдвижения P2O SS L=350мм H=70мм, серебристый Hettich";"4048,08 грн.";к-т
73829;"Комплект ящиков Atira, полного выдвижения со стекл.надс. DesignSide P2O SS L=350мм H=144мм, серебро";"3626,57 грн.";к-т
73634;"Комплект для внутренних ящиков Atira, полного выдвижения P2O Silent L=470мм H=70мм, белый Hettich";"4121,56 грн.";к-т
73830;"Комплект ящиков Atira, полного выдвижения со стекл.надс. DesignSide P2O L=350мм H=144мм, антрацит";"2836,77 грн.";к-т
73757;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=420мм H=70мм, серебристый Hettich";"3297,73 грн.";к-т
73713;"Комплект ящиков Atira, полного выдвижения с стекл.надставками TopSide P2O L=520мм H=144мм, белый";"2830,9 грн.";к-т
73718;"Комплект ящиков Atira, полного выдвижения со стекл.надст. DesignSide P2O L=520мм H=144мм, антрацит";"2969,02 грн.";к-т
73638;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=470мм H=70мм, серебристый Hettich";"3325,87 грн.";к-т
73843;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=350мм H=144мм, белый Hettich";"4314,52 грн.";к-т
73709;"Комплект ящиков Atira, полного выдвижения с метал.надставками TopSide P2O L=520мм H=144мм, серебро";"2860,71 грн.";к-т
73800;"Комплект ящиков Atira, полного выдвижения со стекл.над. DesignSide P2O L=420мм H=144мм, белый";"2891,25 грн.";к-т
66542;"Комплект для ящиков Atira, частичного выдвижения L=470мм H=177-500мм, белый Hettich";"1843,85 грн.";к-т
66553;"Комплект для ящиков Atira, полного выдвижения L=420мм H=177-500мм, антрацит Hettich";"2071,49 грн.";к-т
66579;"Комплект для ящиков Atira, полного выдвижения L=350мм H=177-500мм, серебристый Hettich";"2011,02 грн.";к-т
110071;"Продольный релинг L=620мм, Atira, антрацит, левый (9194562) Hettich";"131,88 грн.";шт
94276;"Боковина Atira L=620 мм H=70мм серебро, правая (9194403) Hettich";"258,36 грн.";шт
118894;"Комплект для ящиков Atira, P2O полного выдвижения L=470мм H=54мм, антрацит Hettich";"2563,68 грн.";к-т
92786;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=450мм, серебро, правая (9257136) Hettich";"648,84 грн.";шт
92893;"AvanTech YOU Боковина H=101, L=270мм, серебро, правая (9255009) Hettich";"342,78 грн.";шт
92963;"AvanTech YOU Боковина H=101, L=400мм, серебро, правая (9255015) Hettich";"359,4 грн.";шт
92971;"AvanTech YOU Боковина H=101, L=600мм, серебро, правая (9255023) Hettich";"388,14 грн.";шт
92979;"AvanTech YOU Боковина H=101, L=300мм, белая, левая (9255090) Hettich";"346,62 грн.";шт
92988;"AvanTech YOU Боковина H=101, L=400мм, белая, правая (9255095) Hettich";"359,4 грн.";шт
92997;"AvanTech YOU Боковина H=101, L=500мм, белая, правая (9255099) Hettich";"372,12 грн.";шт
93012;"AvanTech YOU Боковина H=101, L=550мм, белая, левая (9255100) Hettich";"378,54 грн.";шт
93028;"AvanTech YOU Боковина H=101, L=650мм, белая, правая (9255105) Hettich";"401,22 грн.";шт
93049;"AvanTech YOU Боковина H=101, L=300мм, антрацит, правая (9255171) Hettich";"346,62 грн.";шт
93062;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=650мм, антрацит, правая (9257172) Hettich";"711,72 грн.";шт
93072;"AvanTech YOU Лицевая панель алюминий H=187мм L=2000мм, белый (9257275) Hettich";"4097,7 грн.";шт
93087;"AvanTech YOU Боковина H=101, L=650мм, антрацит, левая (9255184) Hettich";"401,22 грн.";шт
93124;"AvanTech YOU Боковина H=187, L=400мм, серебро, левая (9255050) Hettich";"593,88 грн.";шт
93138;"AvanTech YOU DesignCape H=101мм L=2000мм, нержавеющая сталь (9257647) Hettich";"3937,14 грн.";шт
93172;"AvanTech YOU Боковина H=187, L=270мм, белый, правая (9255125) Hettich";"566,46 грн.";шт
93201;"AvanTech YOU Боковина H=187, L=450мм, белый, правая (9255133) Hettich";"604,44 грн.";шт
93213;"Направляющая Actro YOU L=300мм (40 кг), правая (9256977) Hettich";"465,72 грн.";шт
93227;"Направляющая Actro YOU L=400мм (40 кг), правая (9256985) Hettich";"471,66 грн.";шт
93262;"Направляющая Actro YOU L=550мм (40 кг), левая (9256996) Hettich";"515,16 грн.";шт
93287;"Actro YOU Механизм Push to open Silent мощный (9257893) Hettich";"1204,98 грн.";шт
93297;"AvanTech YOU Боковина H=187, L=400мм, антрацит, левая (9255210) Hettich";"593,88 грн.";шт
93312;"AvanTech YOU Комплект стекол для боковин H=187мм L=650мм (9283184) Hettich";"1949,7 грн.";шт
93321;"AvanTech YOU дизайн-профиль L=500мм, серебро (9255809) Hettich";"19,26 грн.";шт
93335;"AvanTech YOU дизайн-профиль L=450мм, белый (9255817) Hettich";"18,9 грн.";шт
93344;"AvanTech YOU дизайн-профиль L=350мм, антрацит (9255824) Hettich";"18,24 грн.";шт
93354;"AvanTech YOU дизайн-профиль L=550мм, антрацит (9255828) Hettich";"19,56 грн.";шт
93362;"AvanTech YOU Боковина H=251, L=500мм, серебро, левая (9255072) Hettich";"968,1 грн.";шт
93371;"AvanTech YOU Боковина H=251, L=600мм, серебро, правая (9255077) Hettich";"1009,74 грн.";шт
93379;"AvanTech YOU заглушка лицевой панели внутреннего ящика H=101, антрацит (9257637) Hettich";"6,96 грн.";шт
93387;"AvanTech YOU к-кт адаптеров лицевой панели стекло вн. ящика Inlay H=187, белый (9257658) Hettich";"948,6 грн.";шт
93395;"AvanTech YOU Боковина H=251, L=400мм, белая, правая (9255149) Hettich";"934,92 грн.";шт
93404;"AvanTech YOU Боковина H=251, L=550мм, белая, левая (9255154) Hettich";"984,72 грн.";шт
93413;"AvanTech YOU Боковина H=251, L=600мм, белая, правая (9255157) Hettich";"1009,74 грн.";шт
93425;"Направляющая Quadro YOU L=450мм (30 кг), левая (9256868) Hettich";"379,56 грн.";шт
93434;"Направляющая Quadro YOU L=550мм (30 кг), левая (9256876) Hettich";"394,98 грн.";шт
93482;"AvanTech YOU Боковина H=251, L=600мм, антрацит, левая (9255236) Hettich";"1009,74 грн.";шт
93497;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=350мм, серебро, левая (9257131) Hettich";"626,22 грн.";шт
94440;"Комплект ящика AvanTech YOU Q L=350 H=101 белый Hettich";"1854,65 грн.";к-т
94448;"Комплект ящика AvanTech YOU Q L=500 H=101 антрацит Hettich";"1940,63 грн.";к-т
94576;"Комплект ящика AvanTech YOU Q L=600 H=101 серебро Hettich";"2005,14 грн.";к-т
94604;"Комплект ящика AvanTech YOU Q L=500 H=187 Inlay (скло) белый Hettich";"3898,71 грн.";к-т
94619;"Комплект внутреннего ящика AvanTech YOU Q L=500 H=187 Inlay (скло 130мм) антрацит корпус 600мм";"7414,39 грн.";к-т
94657;"Комплект внутреннего ящика AvanTech YOU Q L=500 H=187 Inlay (скло 66мм) серебро корпус 600мм";"7051,23 грн.";к-т
94675;"Комплект ящика AvanTech YOU Q L=350H=187 белый Hettich";"2417,73 грн.";к-т
94684;"Комплект ящика AvanTech YOU Q L=350 H=187 Inlay (скло) антрацит Hettich";"3758,64 грн.";к-т
94694;"Комплект внутреннего ящика AvanTech YOU Q L=400 H=101 серебро Hettich";"4688,75 грн.";к-т
94727;"Комплект внутреннего ящика AvanTech YOU Q L=400 H=187 Inlay (скло 130мм) белый корпус 600мм";"7192,01 грн.";к-т
94738;"Комплект ящика AvanTech YOU Q L=400 H=251 антрацит Hettich";"3171,12 грн.";к-т
94766;"Комплект внутреннего ящика AvanTech YOU Q L=450 H=187 серебро Hettich";"6665,64 грн.";к-т
94779;"Комплект внутреннего ящика AvanTech YOU Q L=450 H=187 Inlay (скло 66мм) белый корпус 600мм";"6940,03 грн.";к-т
94795;"Комплект внутреннего ящика AvanTech YOU Q L=550 H=101 антрацит Hettich";"4774,75 грн.";к-т
94871;"Комплект ящика AvanTech YOU Q L=550 H=187 серебро Hettich";"2565,86 грн.";к-т
94901;"Комплект ящика AvanTech YOU Q L=550 H=187 Inlay (скло) белый Hettich";"4275,98 грн.";к-т
94954;"Комплект внутреннего ящика AvanTech YOU Q L=600 H=187 антрацит Hettich";"6788,19 грн.";к-т
94976;"Комплект внутреннего ящика AvanTech YOU Q L=600 H=187 Inlay (скло 130мм) серебро корпус 600мм";"7794,46 грн.";к-т
94991;"Комплект ящика AvanTech YOU Q L=600 H=251 белый Hettich";"3384,9 грн.";к-т
95086;"Комплект внутреннего ящика AvanTech YOU A L=350 H=187 антрацит Hettich";"6794,42 грн.";к-т
95157;"Комплект внутреннего ящика AvanTech YOU A L=350 H=187 Inlay (скло 130мм) серебро корпус 600мм";"7283,93 грн.";к-т
95211;"Комплект ящика AvanTech YOU A L=350 H=251 белый Hettich";"3324,96 грн.";к-т
95274;"Комплект внутреннего ящика AvanTech YOU A L=400 H=187 антрацит Hettich";"6828,04 грн.";к-т
95302;"Комплект внутреннего ящика AvanTech YOU A L=400 H=187 Inlay (скло 130мм) серебро корпус 600мм";"7391,57 грн.";к-т
95319;"Комплект ящика AvanTech YOU A L=400 H=251 белый Hettich";"3370,68 грн.";к-т
95350;"Комплект внутреннего ящика AvanTech YOU A L=450 H=187 Inlay (скло 130мм) антрацит корпус 600мм";"7499,13 грн.";к-т
95370;"Комплект ящика AvanTech YOU A L=450H=187 Inlay (скло) серебро Hettich";"4176,94 грн.";к-т
95391;"Комплект ящика AvanTech YOU A L=500 H=101 белый Hettich";"2133,55 грн.";к-т
95447;"Комплект внутреннего ящика AvanTech YOU A L=500 H=187 Inlay (скло 130мм) антрацит корпус 600мм";"7606,8 грн.";к-т
95455;"Комплект ящика AvanTech YOU A L=500 H=187 Inlay (скло) серебро Hettich";"4284,62 грн.";к-т
95477;"Комплект ящика AvanTech YOU A L=550 H=101 белый Hettich";"2210,31 грн.";к-т
95603;"Комплект внутреннего ящика AvanTech YOU A L=550 H=187 Inlay (скло 130мм) антрацит корпус 600мм";"7839,01 грн.";к-т
95640;"Комплект ящика AvanTech YOU A L=550 H=187 Inlay (скло) серебро Hettich";"4516,82 грн.";к-т
95650;"Комплект ящика AvanTech YOU A L=450 H=187 белый Hettich";"2687,99 грн.";к-т
95659;"Комплект внутреннего ящика AvanTech YOU A L=600 H=187 антрацит Hettich";"7014,69 грн.";к-т
95686;"Комплект внутреннего ящика AvanTech YOU A L=600 H=187 Inlay (скло 130мм) серебро корпус 600мм";"8033,37 грн.";к-т
95694;"Комплект ящика AvanTech YOU A L=600 H=251 белый Hettich";"3624,33 грн.";к-т
113860;"AvanTech YOU дизайн профиль L = 500 под орех (9255800) Hettich";"29,58 грн.";шт
97802;"Направляющая телескопическая для клавиатуры, цинк L=350 мм (для ДСП, боковое крепление)";"122,58 грн.";шт
83173;"Фиксатор Quadro, левый (9144830) Hettich";"29,28 грн.";шт
83172;"Фиксатор Quadro, правый (9144841) Hettich";"29,28 грн.";шт
96077;"Направляющие телескоп. 45мм L=250 MULLER profi line";"238,8 грн.";к-т
98161;"Направляющие роликовые L=550 1,2 мм Muller";"140,82 грн.";к-т
52480;"Направляющие роликовые L=600мм белые";"104,34 грн.";к-т
96081;"Направляющие телескоп. 45мм L=400 MULLER profi line";"326,28 грн.";к-т
96091;"Направляющие телескоп. 45мм L=550 MULLER profi line с доводчиком";"618,9 грн.";к-т
41927;"Адаптер для направляющих Quadro V6 Hettich левый WE29.0030.01.549";"402,48 грн.";шт
42135;"Направляющие скрытого монтажа SC L = 400 ДСП 18мм Muller profi line";"608,64 грн.";к-т
41787;"Направляющая скрытого монтажа SC L=450 ЛЕВАЯ  Muller profi line";"235,92 грн.";шт
55856;"Quadro V6.Silent System L=300мм полного выдвижения, правая, ДСП до 19 мм (9225674)";"451,86 грн.";шт
55122;"Quadro 25.P2O L=450мм частичного выдвижения, правая, ДСП до 19 мм (9212726)";"265,2 грн.";шт
55832;"Quadro V6.P2O L=350мм полного выдвижения, правая, ДСП до 19 мм (9225738)";"520,32 грн.";шт
55845;"Quadro 25.P2O L=300мм частичного выдвижения, правая, ДСП до 19 мм (9212718)";"240,54 грн.";шт
55854;"Quadro 25.Silent System L=400мм частичного выдвижения, правая, ДСП до 19 мм (9212680)";"232,26 грн.";шт
64142;"Направляющие скрытого монтажа PO L=350 Muller profi line 18мм max";"557,04 грн.";к-т
67279;"Quadro 4D SilentSystem L=500 мм полного выдвижения, к-т, ДСП 16мм (9245392) Hettich";"1366,02 грн.";шт
64146;"Направляющие скрытого монтажа PO L=550 Muller profi line 18мм max";"716,94 грн.";к-т
78137;"Комплект направляющих Quadro полн/в P2O L=300 EB=23 (ДСП до 19 мм)";"1079,47 грн.";к-т
78150;"Комплект направляющих Quadro част/в с доводчиком L=450 EB=23 (ДСП до 19 мм)";"539,44 грн.";к-т
85053;"Направляющие телескопические 42мм L=500мм черные";"156,12 грн.";к-т
94100;"Направляющие телескопические 35мм L = 500мм";"95,16 грн.";к-т
120644;"AvanTech YOU Комплект боковин H=187, Inlay (под стекло) L=500мм, антрацит (9257190) Hettich";"1785 грн.";шт
120652;"AvanTech YOU Комплект боковин H=187, Inlay (под стекло) L=400мм, белый (9257181) Hettich";"1739,7 грн.";шт
119736;"Комплект направляющих Actro YOU L=450мм полного выдвижения с доводчиком (40кг)";"1190,2 грн.";к-т
119013;"AvanTech YOU Комплект боковин H=187, L=550мм, белый (92553708) Hettich";"1754,76 грн.";шт
119039;"AvanTech YOU Комплект боковин H=187, L=400мм, белый (9255305) Hettich";"1689,54 грн.";шт
123327;"Комплект направляющих Actro 5D L=250мм полного выдвижения с доводчиком (40кг)";"1282,99 грн.";к-т
123335;"Комплект направляющих Actro 5D L=650мм полного выдвижения с доводчиком (70кг)";"1803,75 грн.";к-т
119811;"AvanTech YOU Комплект боковин H=101, L=550мм,серебро (9255250) Hettich";"1158,36 грн.";шт
119819;"AvanTech YOU Комплект боковин H=101, L=400мм, антрацит (9255327) Hettich";"1118,1 грн.";шт
118342;"AvanTech YOU Комплект боковин H=251, L=600мм, белый (9255318) Hettich";"2558,34 грн.";шт
118350;"AvanTech YOU Комплект боковин H=251, L=400мм, антрацит (9255354) Hettich";"2405,76 грн.";шт
122870;"Направляющая скрытого монтажа Actro 5D L=300 левая (40кг) (9257063) Hettich";"535,74 грн.";шт
122878;"Направляющая скрытого монтажа Actro 5D L=500 левая (40кг) (9257079)";"552,3 грн.";шт
122887;"Направляющая скрытого монтажа Actro 5D L=700 левая (70кг) (9257116)";"861,54 грн.";шт
117067;"Quadro 25.P2O L = 550мм частичного выдвижения, левая, ДСП до 19 мм (9291615) Hettich";"280,92 грн.";шт
117077;"Quadro V6.Silent System L = 250мм полного выдвижения, права, ДСП до 19 мм (9292828) Hettich";"449,88 грн.";шт
119402;"Комплект направляющих Quadro полн/в с доводчиком L = 600 EB = 23 (ДСП до 19 мм)";"1045,75 грн.";к-т
11247;"Метабоксы L=450 H-86 Muller";"230,04 грн.";к-т
11246;"Метабоксы L=400 H-150 Muller";"314,16 грн.";к-т
43465;"Метабоксы L=300 H-86 Muller";"187,26 грн.";к-т
13798;"Боковина ArciTech H=94 L=500 белая, правая (9121250) Hettich";"259,98 грн.";шт
16532;"Адаптер фасада ArciTech  внутреннего ящика H=94 (9123083) Hettich";"432,12 грн.";шт
14503;"Организация OrgaTray 570 W=900 L=500 серебро (9134994) Hettich";"1629,18 грн.";шт
13788;"Соединитель задней стенки H=218 ArciTech, белый, правый 9121854 Hettich";"164,88 грн.";шт
13951;"Продольный релинг ArciTech L=500 антрацит, правый (9122006) Hettich";"156,78 грн.";шт
13790;"Соединитель задней стенки H=186 ArciTech, серебро, правый 9121844 Hettich";"141,12 грн.";шт
13800;"Боковина ArciTech H=94 L=500 антрацит, правая (9121292) Hettich";"259,98 грн.";шт
