"Арт №";"Наименование позиции";"Цена, грн";Ед.
95692;"Комплект ящика AvanTech YOU A L=600 H=187 Inlay (скло) серебро Hettich";"4711,18 грн.";к-т
110692;"Комплект фиксаторов Actro YOU  для деревянных ящиков (9257265) Hettich";"235,2 грн.";шт
33551;"Направляющие телескоп. 45мм L=450mm MULLER PushOpen";"315,36 грн.";к-т
33552;"Направляющие телескоп. 45мм L=500mm MULLER PushOpen";"357 грн.";к-т
83177;"Направляющая телескопическая KA 5332 L=500мм (9057405) Hettich";"491,28 грн.";шт
83178;"Направляющая телескопическая KA 5332 L=550мм (9057407) Hettich";"533,82 грн.";шт
93120;"Направляющие роликовые L=250мм белые";"47,16 грн.";к-т
36950;"Направляющие телескоп. 45мм L=800mm MULLER";"478,5 грн.";к-т
96087;"Направляющие телескоп. 45мм L=350 MULLER profi line част. выдв. с доводчиком";"482,76 грн.";к-т
42136;"Направляющие скрытого монтажа SC L=450 ДСП 18мм  Muller profi line";"644,22 грн.";к-т
96174;"Направляющие телескоп. 45мм L=700mm MULLER";"401,88 грн.";к-т
52505;"Направляющие телескопические полного выдвижения 42мм,  L=450мм";"136,92 грн.";к-т
55119;"Quadro V6.Silent System L=500мм полного выдвижения, правая, ДСП до 19 мм (9225732)";"490,98 грн.";шт
55112;"Quadro 25.Silent System L=500мм частичного выдвижения, правая, ДСП до 19 мм (9212684)";"248,7 грн.";шт
55129;"Quadro V6.P2O L=500мм полного выдвижения, правая, ДСП до 19 мм (9225744)";"549,6 грн.";шт
55843;"Quadro 25.P2O L=300мм частичного выдвижения, левая, ДСП до 19 мм (9212717)";"240,54 грн.";шт
55852;"Quadro 25.Silent System L=350мм частичного выдвижения, правая, ДСП до 19 мм (9267404)";"224,04 грн.";шт
64138;"Направляющие скрытого монтажа SC L=300 Muller profi line 18мм max";"515,82 грн.";к-т
64133;"Направляющие скрытого монтажа част. выдвиж. SC L=450 Muller 18мм max";"395,64 грн.";к-т
64143;"Направляющие скрытого монтажа PO L=400 Muller profi line 18мм max";"593,16 грн.";к-т
78132;"Комплект направляющих Quadro част/в P2O L=450 EB=23 (ДСП до 19 мм)";"588,83 грн.";к-т
78148;"Комплект направляющих Quadro част/в с доводчиком L=350 EB=23 (ДСП до 19 мм)";"506,52 грн.";к-т
78156;"Комплект направляющих Quadro полн/в с доводчиком L=500 EB=23 (ДСП до 19 мм)";"1040,37 грн.";к-т
94098;"Направляющие телескопические 35мм L = 400мм";"76,38 грн.";к-т
120642;"AvanTech YOU Комплект боковин H=187, Inlay (под стекло) L=550мм,серебро (9257177) Hettich";"1807,62 грн.";шт
120650;"AvanTech YOU Комплект боковин H=187, Inlay (под стекло) L=400мм, антрацит (9257188) Hettich";"1739,7 грн.";шт
119734;"Комплект направляющих Actro YOU L=350мм полного выдвижения с доводчиком (40кг)";"1166,53 грн.";к-т
119009;"AvanTech YOU Комплект боковин H=187, L=600мм, белый (9255309) Hettich";"1787,58 грн.";шт
119034;"AvanTech YOU Комплект боковин H=187, L=400мм, антрацит (9255345) Hettich";"1689,54 грн.";шт
117754;"AvanTech YOU Комплект боковин H=187, L=550 антрацит (9255348) Hettich";"1754,76 грн.";шт
123333;"Комплект направляющих Actro 5D L=550мм полного выдвижения с доводчиком (40кг)";"1384,03 грн.";к-т
119809;"AvanTech YOU Комплект боковин H=101, L=600мм,серебро (9255251) Hettich";"1178,58 грн.";шт
119817;"AvanTech YOU Комплект боковин H=101, L=450мм,серебро (9255248) Hettich";"1131,54 грн.";шт
118340;"AvanTech YOU Комплект боковин H=251, L=600мм, антрацит (9255358) Hettich";"2558,34 грн.";шт
118348;"AvanTech YOU Комплект боковин H=251, L=450мм,серебро (9255275) Hettich";"2439,6 грн.";шт
122868;"Направляющая скрытого монтажа Actro 5D L=250 левая (40кг) (9257059) Hettich";"534,9 грн.";шт
122876;"Направляющая скрытого монтажа Actro 5D L=450 левая (40кг) (9257075)";"546,78 грн.";шт
122885;"Направляющая скрытого монтажа Actro 5D L=650 левая (70кг) (9257114)";"795,3 грн.";шт
122893;"Механизм регулировки по глубине Actro 5D (9257706) Hettich";"138,3 грн.";шт
117075;"Quadro V6.P2O L = 250мм полного выдвижения, права, ДСП до 19 мм (9292844) Hettich";"508,56 грн.";шт
119400;"Комплект направляющих Quadro полн/в с доводчиком L = 250 EB = 23 (ДСП до 19 мм)";"958,25 грн.";к-т
117547;"Направляющие телескоп. 45мм L=250mm MULLER с доводчиком";"189,54 грн.";к-т
11248;"Метабоксы L=450 H-150 Muller";"344,04 грн.";к-т
13753;"Метабоксы L=350 H-150 Muller";"263,1 грн.";к-т
13949;"Продольный релинг ArciTech L=500 белый, левый (9122007) Hettich";"156,78 грн.";шт
13770;"Соединитель задней стенки H=218 ArciTech, серебро, левый 9121851 Hettich";"164,88 грн.";шт
13797;"Боковина ArciTech H=94 L=500 белая, левая (9121249) Hettich";"259,98 грн.";шт
13767;"Заглушка ArciTech с логотипом &quot;Hettich&quot; серебро (9123009) Hettich";"28,86 грн.";шт
13774;"Продольный релинг ArciTech L=450 серебро, левый (9121993) Hettich";"153,06 грн.";шт
21741;"Соединитель задней стенки H=186 ArciTech, шампань, правый(9132257) Hettich";"141,12 грн.";шт
21737;"Соединитель задней стенки H=94 ArciTech, шампань, правый (9132253) Hettich";"81,72 грн.";шт
32896;"Адаптер фасада ArciTech внутреннего ящика H=186, белый (9123090) Hettich";"783,18 грн.";шт
32900;"Лицевая панель ArciTech для внутреннего ящика L=2000 Н=94, антрацит (9192205) Hettich";"1566,3 грн.";шт
56166;"Направляющая Actro, Silent System L=450мм, правая (9239284) Hettich";"483,54 грн.";шт
67816;"Боковина ArciTech L=550мм H=94мм белая левая (9121251)  Hettich";"264,42 грн.";шт
30355;"Направляющая Actro, Silent System L=350мм, левая (9121089) Hettich";"465,6 грн.";шт
14776;"К-кт. креплений задней стенки для  Muller Box под 2 релинга Н-199";"89,7 грн.";шт
14773;"Комлект Muller Box L-450 Н-199 с надставкой";"1066,92 грн.";шт
14770;"Комлект Muller Box L-350  Н-84";"782,58 грн.";шт
14791;"Разделитель - флажок";"40,56 грн.";шт
14778;"Шаблон для разметки креплений фасада  Muller Box";"29,28 грн.";шт
26750;"Релинг продольный L-500 для ящика Muller Box белый";"125,22 грн.";шт
73568;"Комплект Muller Box profi line L-350 Н-95 белый";"893,64 грн.";к-т
73576;"Комплект Muller Box profi line L-400 Н-127 белый";"1092,18 грн.";к-т
73584;"Комплект Muller Box profi line L-450 Н-178 белый";"1315,62 грн.";к-т
73592;"Комплект Muller Box profi line L-350 Н-127 антрацит";"1042,56 грн.";к-т
73601;"Комплект Muller Box profi line L-450 Н-95 антрацит";"1042,56 грн.";к-т
73618;"К-кт креплений передней панели Muller Box profi line белый";"85,8 грн.";шт
71999;"Комплект Muller Box L-500 с 1 релингом";"1142,83 грн.";к-т
72007;"Комплект Muller Box L-500 внутренний ящик";"1772,68 грн.";к-т
72016;"Комплект Muller Box L-500 с 2 релингами белый";"1297,39 грн.";к-т
117803;"Комплект внутр. ящик Muller Box profi line L-400 Н-95 антрацит";"1893,78 грн.";к-т
117812;"Комплект внутр. ящик Muller Box profi line L-450 Н-95 белый";"1943,42 грн.";к-т
116437;"К-кт Muller Box L-500 Н-199 с надставкой стекло серый";"1411,42 грн.";к-т
29050;"Соединитель задней стенки H=70мм Atira, белый, правый (9194628) Hettich";"59,7 грн.";шт
29347;"Комплект для ящиков Atira, частичного выдвижения L=520мм H=70мм, серебристый Hettich";"1180,87 грн.";к-т
29136;"Организация OrgaStore 410, релинг L=2000, белая (9194615) Hettich";"580,14 грн.";шт
29022;"Боковина Atira L=470 мм H=70мм белая, левая (9194412) Hettich";"231,96 грн.";шт
29289;"Комплект для ящиков Atira, частичного выдвижения L=350мм H=70мм, белый Hettich";"1086,15 грн.";к-т
29166;"Комплект надставок DesignSide L=470мм Н=144мм, белая (9194808) Hettich";"1185,42 грн.";шт
29120;"Организация OrgaTray 490  L=470 антрацит (9207247) Hettich";"838,86 грн.";шт
29304;"Комплект для ящиков Atira, полного выдвижения L=420мм H=144мм, белый Hettich";"1687,21 грн.";к-т
29179;"Соединитель лицевой панели Atira H=70мм, серебро (9104107) Hettich";"200,1 грн.";шт
29309;"Комплект для ящиков Atira, частичного выдвижения L=420мм H=144мм, серебристый Hettich";"1419,14 грн.";к-т
29174;"Комплект надставок DesignSide L=420мм Н=144мм, антрацит (9194814) Hettich";"1174,68 грн.";шт
29017;"Боковина Atira L=520 мм H=70мм серебро, правая (9194401) Hettich";"239,7 грн.";шт
29018;"Боковина Atira L=350 мм H=70мм белая, левая (9194408) Hettich";"213,42 грн.";шт
29336;"Комплект для ящиков Atira, частичного выдвижения L=520мм H=176мм, антрацит Hettich";"1529,38 грн.";к-т
29145;"Надставка TopSide L=470мм H=144мм, Atira, серебристая (9194681) Hettich";"584,64 грн.";шт
29048;"Соединитель задней стенки H=176мм Atira, серебро, правый (9027831) Hettich";"103,8 грн.";шт
29317;"Комплект для ящиков Atira, частичного выдвижения L=420мм H=176мм, серебристый Hettich";"1461,13 грн.";к-т
29172;"Надставка TopSide L=520мм H=144мм, Atira, антрацит (9194696) Hettich";"588,96 грн.";шт
29143;"Надставка TopSide L=350мм H=144мм, Atira, серебристая (9194679) Hettich";"574,32 грн.";шт
29054;"Соединитель задней стенки H=176мм Atira, белый, правый (9194640) Hettich";"103,8 грн.";шт
